slice,kind,label,n,residual,ci_lo,ci_hi,p,fdr
"GLOBAL (all modes, all maps)",pair,"Ruffs + Gene",108,-0.075200,-0.169247,0.018806,0.10949,false
"GLOBAL (all modes, all maps)",pair,"Otis + Crow",653,0.031037,-0.007695,0.069841,0.10994,false
"GLOBAL (all modes, all maps)",pair,"Piper + Colt",634,0.030810,-0.008307,0.069273,0.11021,false
"GLOBAL (all modes, all maps)",pair,"Najia + Gus",81,-0.083061,-0.186561,0.015560,0.11068,false
"GLOBAL (all modes, all maps)",pair,"Bibi + Tick",60,0.094471,-0.020174,0.208672,0.11100,false
"GLOBAL (all modes, all maps)",pair,"Berry + Bo",136,0.066065,-0.020126,0.144125,0.11194,false
"GLOBAL (all modes, all maps)",pair,"Piper + Mortis",397,0.040414,-0.008301,0.090490,0.11363,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Shelly",84,-0.080359,-0.180434,0.020767,0.11372,false
"GLOBAL (all modes, all maps)",pair,"Leon + Spike",135,-0.066957,-0.149436,0.015608,0.11427,false
"GLOBAL (all modes, all maps)",pair,"Max + Brock",787,0.028670,-0.007808,0.064892,0.11517,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Colt",625,0.030845,-0.007897,0.069915,0.11604,false
"GLOBAL (all modes, all maps)",pair,"Cordelius + Mortis",79,-0.089174,-0.197214,0.021381,0.11705,false
"GLOBAL (all modes, all maps)",pair,"Edgar + Colette",340,0.042726,-0.010584,0.095609,0.11760,false
"GLOBAL (all modes, all maps)",pair,"Surge + Poco",93,-0.079073,-0.175625,0.019968,0.11775,false
"GLOBAL (all modes, all maps)",pair,"Najia + Rico",63,-0.094487,-0.215739,0.023166,0.11794,false
"GLOBAL (all modes, all maps)",pair,"Moe + Chester",63,-0.093060,-0.206077,0.029759,0.11824,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Carl",296,-0.046007,-0.104417,0.009847,0.11825,false
"GLOBAL (all modes, all maps)",pair,"Shade + Tara",82,-0.085167,-0.190866,0.023536,0.11901,false
"GLOBAL (all modes, all maps)",pair,"Gray + Belle",62,-0.099625,-0.223860,0.030026,0.11958,false
"GLOBAL (all modes, all maps)",pair,"Surge + 8-Bit",669,-0.030134,-0.067866,0.009257,0.12008,false
"GLOBAL (all modes, all maps)",pair,"Byron + Brock",753,0.027817,-0.006303,0.063711,0.12044,false
"GLOBAL (all modes, all maps)",pair,"Meg + Nita",116,-0.069888,-0.157589,0.014262,0.12195,false
"GLOBAL (all modes, all maps)",pair,"Damian + Kenji",63,0.093718,-0.030708,0.213729,0.12238,false
"GLOBAL (all modes, all maps)",pair,"Mico + Edgar",207,-0.052547,-0.121611,0.012727,0.12337,false
